Point 0 --> || t = 500.0000000000 || max_dvdt = 8.3411509058 ||
Point 1 --> || t = 500.0000000000 || max_dvdt = 8.3411509061 ||
Point 2 --> || t = 500.0000000000 || max_dvdt = 8.3411509072 ||
Point 3 --> || t = 500.0000000000 || max_dvdt = 8.3411509090 ||
Point 4 --> || t = 500.0000000000 || max_dvdt = 8.3411509116 ||
Point 5 --> || t = 500.0000000000 || max_dvdt = 8.3411509149 ||
Point 6 --> || t = 502.6000000000 || max_dvdt = 12.0899923078 ||
Point 7 --> || t = 502.6000000000 || max_dvdt = 12.2420834597 ||
Point 8 --> || t = 502.6000000000 || max_dvdt = 12.1870879900 ||
Point 9 --> || t = 502.7000000000 || max_dvdt = 12.5793271776 ||
Point 10 --> || t = 502.7000000000 || max_dvdt = 12.9356579695 ||
Point 11 --> || t = 502.7000000000 || max_dvdt = 13.0317161939 ||
Point 12 --> || t = 502.7000000000 || max_dvdt = 12.9097908411 ||
Point 13 --> || t = 502.8000000000 || max_dvdt = 13.3629747994 ||
Point 14 --> || t = 502.8000000000 || max_dvdt = 13.6674614628 ||
Point 15 --> || t = 502.8000000000 || max_dvdt = 13.6969885336 ||
Point 16 --> || t = 502.8000000000 || max_dvdt = 13.5032785017 ||
Point 17 --> || t = 502.9000000000 || max_dvdt = 13.9000520403 ||
Point 18 --> || t = 502.9000000000 || max_dvdt = 14.1656821566 ||
Point 19 --> || t = 502.9000000000 || max_dvdt = 14.1420839535 ||
Point 20 --> || t = 502.9000000000 || max_dvdt = 13.8906897699 ||
Point 21 --> || t = 503.0000000000 || max_dvdt = 14.2693562308 ||
Point 22 --> || t = 503.0000000000 || max_dvdt = 14.4888405822 ||
Point 23 --> || t = 503.0000000000 || max_dvdt = 14.4098763739 ||
Point 24 --> || t = 503.0000000000 || max_dvdt = 14.1032452537 ||
Point 25 --> || t = 503.1000000000 || max_dvdt = 14.5650950571 ||
Point 26 --> || t = 503.1000000000 || max_dvdt = 14.7217890456 ||
Point 27 --> || t = 503.1000000000 || max_dvdt = 14.5775860527 ||
Point 28 --> || t = 503.2000000000 || max_dvdt = 14.3675647246 ||
Point 29 --> || t = 503.2000000000 || max_dvdt = 14.8171341694 ||
Point 30 --> || t = 503.2000000000 || max_dvdt = 14.8942961106 ||
Point 31 --> || t = 503.2000000000 || max_dvdt = 14.6759865693 ||
Point 32 --> || t = 503.3000000000 || max_dvdt = 14.6701151359 ||
Point 33 --> || t = 503.3000000000 || max_dvdt = 15.0245091696 ||
Point 34 --> || t = 503.3000000000 || max_dvdt = 15.0090593540 ||
Point 35 --> || t = 503.3000000000 || max_dvdt = 14.7116214659 ||
Point 36 --> || t = 503.4000000000 || max_dvdt = 14.9392914590 ||
Point 37 --> || t = 503.4000000000 || max_dvdt = 15.1811646989 ||
Point 38 --> || t = 503.4000000000 || max_dvdt = 15.0652288105 ||
Point 39 --> || t = 503.4000000000 || max_dvdt = 14.6880445592 ||
Point 40 --> || t = 503.5000000000 || max_dvdt = 15.1640058935 ||
Point 41 --> || t = 503.5000000000 || max_dvdt = 15.2821731940 ||
Point 42 --> || t = 503.5000000000 || max_dvdt = 15.0634538235 ||
Point 43 --> || t = 503.6000000000 || max_dvdt = 14.9352309590 ||
Point 44 --> || t = 503.6000000000 || max_dvdt = 15.3352285936 ||
Point 45 --> || t = 503.6000000000 || max_dvdt = 15.3250000792 ||
Point 46 --> || t = 503.6000000000 || max_dvdt = 15.0062956095 ||
Point 47 --> || t = 503.7000000000 || max_dvdt = 15.2002474194 ||
Point 48 --> || t = 503.7000000000 || max_dvdt = 15.4468457771 ||
Point 49 --> || t = 503.7000000000 || max_dvdt = 15.3096211431 ||
Point 50 --> || t = 503.7000000000 || max_dvdt = 14.8978769472 ||
Point 51 --> || t = 503.8000000000 || max_dvdt = 15.4039634669 ||
Point 52 --> || t = 503.8000000000 || max_dvdt = 15.4958874858 ||
Point 53 --> || t = 503.8000000000 || max_dvdt = 15.2382442064 ||
Point 54 --> || t = 503.9000000000 || max_dvdt = 15.1753235778 ||
Point 55 --> || t = 503.9000000000 || max_dvdt = 15.5402048972 ||
Point 56 --> || t = 503.9000000000 || max_dvdt = 15.4823889842 ||
Point 57 --> || t = 503.9000000000 || max_dvdt = 15.1148855746 ||
Point 58 --> || t = 504.0000000000 || max_dvdt = 15.4194581811 ||
Point 59 --> || t = 504.0000000000 || max_dvdt = 15.6064899182 ||
Point 60 --> || t = 504.0000000000 || max_dvdt = 15.4089804052 ||
Point 61 --> || t = 504.1000000000 || max_dvdt = 15.1154142693 ||
Point 62 --> || t = 504.1000000000 || max_dvdt = 15.5867508390 ||
Point 63 --> || t = 504.1000000000 || max_dvdt = 15.6036660256 ||
Point 64 --> || t = 504.1000000000 || max_dvdt = 15.2802981923 ||
Point 65 --> || t = 504.2000000000 || max_dvdt = 15.4020064437 ||
Point 66 --> || t = 504.2000000000 || max_dvdt = 15.6756543889 ||
Point 67 --> || t = 504.2000000000 || max_dvdt = 15.5353072093 ||
Point 68 --> || t = 504.2000000000 || max_dvdt = 15.1023219898 ||
Point 69 --> || t = 504.3000000000 || max_dvdt = 15.6024282398 ||
Point 70 --> || t = 504.3000000000 || max_dvdt = 15.6880319956 ||
Point 71 --> || t = 504.3000000000 || max_dvdt = 15.4069803700 ||
Point 72 --> || t = 504.4000000000 || max_dvdt = 15.3648232560 ||
Point 73 --> || t = 504.4000000000 || max_dvdt = 15.7159700541 ||
Point 74 --> || t = 504.4000000000 || max_dvdt = 15.6284456284 ||
Point 75 --> || t = 504.4000000000 || max_dvdt = 15.2254801706 ||
Point 76 --> || t = 504.5000000000 || max_dvdt = 15.5980753276 ||
Point 77 --> || t = 504.5000000000 || max_dvdt = 15.7453149711 ||
Point 78 --> || t = 504.5000000000 || max_dvdt = 15.5033332888 ||
Point 79 --> || t = 504.6000000000 || max_dvdt = 15.3173239595 ||
Point 80 --> || t = 504.6000000000 || max_dvdt = 15.7361697585 ||
Point 81 --> || t = 504.6000000000 || max_dvdt = 15.6957502311 ||
Point 82 --> || t = 504.6000000000 || max_dvdt = 15.3201665337 ||
Point 83 --> || t = 504.7000000000 || max_dvdt = 15.5817548533 ||
Point 84 --> || t = 504.7000000000 || max_dvdt = 15.7821637433 ||
Point 85 --> || t = 504.7000000000 || max_dvdt = 15.5742575834 ||
Point 86 --> || t = 504.8000000000 || max_dvdt = 15.2675429779 ||
Point 87 --> || t = 504.8000000000 || max_dvdt = 15.7427169215 ||
Point 88 --> || t = 504.8000000000 || max_dvdt = 15.7415456224 ||
Point 89 --> || t = 504.8000000000 || max_dvdt = 15.3885712296 ||
